benchmark,ways,ipc,llc_load_access,llc_load_miss,llc_load_mpki,file
bwaves,1,1.832,5428,5428,0.2714,solo_bwaves_llc1w.txt
bwaves,2,1.831,5428,5428,0.2714,solo_bwaves_llc2w.txt
bwaves,4,1.833,5428,5428,0.2714,solo_bwaves_llc4w.txt
bwaves,6,1.832,5428,5428,0.2714,solo_bwaves_llc6w.txt
bwaves,8,1.833,5428,5428,0.2714,solo_bwaves_llc8w.txt
bwaves,10,1.833,5428,5428,0.2714,solo_bwaves_llc10w.txt
bwaves,12,1.832,5428,5428,0.2714,solo_bwaves_llc12w.txt
bwaves,14,1.831,5428,5428,0.2714,solo_bwaves_llc14w.txt
bwaves,16,1.831,5428,5428,0.2714,solo_bwaves_llc16w.txt
gcc,1,0.4661,163132,163109,8.15545,solo_gcc_llc1w.txt
gcc,2,0.466,163132,163111,8.15555,solo_gcc_llc2w.txt
gcc,4,0.4658,163130,163106,8.1553,solo_gcc_llc4w.txt
gcc,6,0.4657,163132,163088,8.1544,solo_gcc_llc6w.txt
gcc,8,0.4656,163131,163062,8.1531,solo_gcc_llc8w.txt
gcc,10,0.4658,163132,163031,8.15155,solo_gcc_llc10w.txt
gcc,12,0.4655,163135,163012,8.1506,solo_gcc_llc12w.txt
gcc,14,0.4658,163132,163002,8.1501,solo_gcc_llc14w.txt
gcc,16,0.4659,163131,162990,8.1495,solo_gcc_llc16w.txt
mcf,1,0.18,497964,489924,24.4962,solo_mcf_llc1w.txt
mcf,2,0.1815,498026,482816,24.1408,solo_mcf_llc2w.txt
mcf,4,0.1888,498020,458604,22.9302,solo_mcf_llc4w.txt
mcf,6,0.2056,498000,410600,20.53,solo_mcf_llc6w.txt
mcf,8,0.2289,497886,352757,17.63785,solo_mcf_llc8w.txt
mcf,10,0.2505,497929,308152,15.4076,solo_mcf_llc10w.txt
mcf,12,0.2671,498265,280364,14.0182,solo_mcf_llc12w.txt
mcf,14,0.2779,498263,265058,13.2529,solo_mcf_llc14w.txt
mcf,16,0.2852,498268,255379,12.76895,solo_mcf_llc16w.txt
omnetpp,1,0.2526,226763,220326,11.0163,solo_omnetpp_llc1w.txt
omnetpp,2,0.2546,226639,215730,10.7865,solo_omnetpp_llc2w.txt
omnetpp,4,0.2585,226821,209618,10.4809,solo_omnetpp_llc4w.txt
omnetpp,6,0.2654,226936,203866,10.1933,solo_omnetpp_llc6w.txt
omnetpp,8,0.2747,226749,195077,9.75385,solo_omnetpp_llc8w.txt
omnetpp,10,0.2829,226715,188346,9.4173,solo_omnetpp_llc10w.txt
omnetpp,12,0.2895,227000,183208,9.1604,solo_omnetpp_llc12w.txt
omnetpp,14,0.2954,226938,178889,8.94445,solo_omnetpp_llc14w.txt
omnetpp,16,0.3005,226776,175291,8.76455,solo_omnetpp_llc16w.txt
x264,1,2.508,7683,7683,0.38415,solo_x264_llc1w.txt
x264,2,2.508,7683,7683,0.38415,solo_x264_llc2w.txt
x264,4,2.508,7683,7683,0.38415,solo_x264_llc4w.txt
x264,6,2.508,7683,7683,0.38415,solo_x264_llc6w.txt
x264,8,2.508,7683,7683,0.38415,solo_x264_llc8w.txt
x264,10,2.508,7683,7683,0.38415,solo_x264_llc10w.txt
x264,12,2.508,7683,7683,0.38415,solo_x264_llc12w.txt
x264,14,2.508,7683,7683,0.38415,solo_x264_llc14w.txt
x264,16,2.508,7683,7683,0.38415,solo_x264_llc16w.txt
xalancbmk,1,0.8456,38608,37956,1.8978,solo_xalancbmk_llc1w.txt
xalancbmk,2,0.8498,38602,37111,1.85555,solo_xalancbmk_llc2w.txt
xalancbmk,4,0.8911,38705,29299,1.46495,solo_xalancbmk_llc4w.txt
xalancbmk,6,0.9785,38697,15384,0.7692,solo_xalancbmk_llc6w.txt
xalancbmk,8,1.018,38694,10250,0.5125,solo_xalancbmk_llc8w.txt
xalancbmk,10,1.029,38692,9223,0.46115,solo_xalancbmk_llc10w.txt
xalancbmk,12,1.038,38683,8494,0.4247,solo_xalancbmk_llc12w.txt
xalancbmk,14,1.045,38679,7933,0.39665,solo_xalancbmk_llc14w.txt
xalancbmk,16,1.049,38686,7601,0.38005,solo_xalancbmk_llc16w.txt
